date,page
1945,8
1954,157
1955,228
1956,306
1957,534
1958,807
1959,1182
1960,1344
1961,1402
1962,1319
1963,1613
1964,1643
1965,1778
1966,2533
1967,4206
1968,3677
1969,3820
1970,4418
1971,5664
1972,6425
1973,2217
1974,7977
1975,10884
1976,11803
1977,13918
1978,13703
1979,13678
1980,16343
1981,19006
1982,21356
1983,25889
1984,23686
1985,27808
1986,39271
1987,31648
1988,34786
1989,45387
1990,49675
1991,59238
1992,61963
1993,74928
1994,80754
1995,88228
1996,99391
1997,108462
1998,110207
1999,109447
2000,122106
2001,127743
2002,68772
2003,127